"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"AL MUMTAZ for Engineering Consultancy ( almumtaz-fme )","4.8",,"Police Station - near Mathaar Building, Back Side Of",,"Ajman","AE","https://www.almumtaz-fme.com/","+971 55 923 1961","HVAC contractor","Electrical installation service","Mechanical engineer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AL%20MUMTAZ%20for%20Engineering%20Consultancy%20(%20almumtaz-fme%20)&query_place_id=ChIJMVsB6zGU4YQRCAeMqAu_-9M","HVAC contractor"
"Spectrum Smart Solutions Systems سبيكتروم لأنظمة الحلول الذكية","4.7",,"Al Jurf",,"Ajman","AE","https://www.spectrum.co.ae/","+971 6 744 5665","Automation company","Home automation company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spectrum%20Smart%20Solutions%20Systems%20%D8%B3%D8%A8%D9%8A%D9%83%D8%AA%D8%B1%D9%88%D9%85%20%D9%84%D8%A3%D9%86%D8%B8%D9%85%D8%A9%20%D8%A7%D9%84%D8%AD%D9%84%D9%88%D9%84%20%D8%A7%D9%84%D8%B0%D9%83%D9%8A%D8%A9&query_place_id=ChIJ0e7NGsf39T4Rpz3sjnOr93U","Automation company"
"Refrigerant Gas",,,"JURF 2",,"Ajman","AE",,"+971 56 546 3744","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Refrigerant%20Gas&query_place_id=ChIJk_2yiYNZXz4RBSYYmHhisjE","HVAC contractor"
"ROCMOUNT TECHNICAL WORKS L.L.C","5",,"Jurf Industrial 1 shed no 2",,"Ajman","AE","https://www.rocmounttech.com/","+971 55 596 9127","Contractor","Aluminum frames supplier","Aluminum window","Glass industry","Interior construction contractor","Parking lot","Steel construction company","Steel erector","Steel fabricator",,,"https://www.google.com/maps/search/?api=1&query=ROCMOUNT%20TECHNICAL%20WORKS%20L.L.C&query_place_id=ChIJGaJKMHSprWIRcPTjC2jE0Fw","Contractor"
"JAMAL AL SHARQ TECHNICAL SERVICES (S.P.S-L.L.C) - جمال الشرق للخدمات الفنية (ذ.م.م - ش.ش.و)","3.3",,"Jurf Industrial - Factory No. 12",,"Ajman","AE","https://www.jamalalsharq.com/","+971 54 433 1431","HVAC contractor","Commercial refrigerator supplier","Cooling plant","Water cooler supplier","Manufacturer","Refrigerator store","Swimming pool","Water filter supplier","Water pump supplier","Water treatment supplier",,"https://www.google.com/maps/search/?api=1&query=JAMAL%20AL%20SHARQ%20TECHNICAL%20SERVICES%20(S.P.S-L.L.C)%20-%20%D8%AC%D9%85%D8%A7%D9%84%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%20%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%20%D8%A7%D9%84%D9%81%D9%86%D9%8A%D8%A9%20(%D8%B0.%D9%85.%D9%85%20-%20%D8%B4.%D8%B4.%D9%88)&query_place_id=ChIJQ-qDGYr59T4RVHIZsWuN5FM","HVAC contractor"
"Al Neefa Contracting Company LLC","4",,"Al Ittihad Road",,"Emirate of Umm Al Quwain","AE","http://www.alneefauaq.com/","+971 6 766 0888","Construction company",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Neefa%20Contracting%20Company%20LLC&query_place_id=ChIJGY64oRb59T4R7l8IsCHO2Wk","Construction company"
"Tecnalco - Aluminium Technical Engineering Factory","4.3",,,,"Emirate of Umm Al Quwain","AE","https://tecnalco.com/","+971 6 766 5661","HVAC contractor","Air filter supplier","Fire protection equipment supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tecnalco%20-%20Aluminium%20Technical%20Engineering%20Factory&query_place_id=ChIJ3Zw-vrHk9T4RaSnc53-NItc","HVAC contractor"
"Electro Rak Group","4",,"MQ6X+X98",,"Ras Al Khaimah","AE","https://www.electrorakgroup.com/","+971 7 244 7326","Construction company",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Electro%20Rak%20Group&query_place_id=ChIJu29Q89Ph9T4R4RYEl1aV5nQ","Construction company"
"Century Mechanical Systems Factory LLC","4",,"Line 9",,"Ras Al Khaimah","AE","http://www.cmsglobal.com/","+971 7 244 9255","Manufacturer","Office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Century%20Mechanical%20Systems%20Factory%20LLC&query_place_id=ChIJBYCqC87h9T4RBlTCxkIAkyM","Manufacturer"
"MMC Engineering Co LLC","4.5",,"GPXF+V47",,"Emirate of Umm Al Quwain","AE","https://mmcengineeringco.mmcgroupuae.com/","+971 50 737 6140","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MMC%20Engineering%20Co%20LLC&query_place_id=ChIJA6TR0fjj9T4RsX3FUxajZ8c","HVAC contractor"
"Acevac Middle East LLC","4.4",,,,"Emirate of Umm Al Quwain","AE",,"+971 6 765 1248","Air conditioning contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Acevac%20Middle%20East%20LLC&query_place_id=ChIJy5x_0z759T4R14M0IAbrb28","Air conditioning contractor"
"Prime AC Trading FZC","3.7",,"GMVG+4P8",,"Emirate of Umm Al Quwain","AE","http://www.primeaircon.com/","+971 55 151 7571","Steel distributor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prime%20AC%20Trading%20FZC&query_place_id=ChIJ9XQUuKrk9T4Rj52binWvjqo","Steel distributor"
"AEROSYS HVAC SOLUTIONS LLC","5",,"plot no 540 unit no-23 - block no 01 umm thaob",,"Emirate of Umm Al Quwain","AE","https://www.aerosysuae.com/","+971 50 770 4335","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AEROSYS%20HVAC%20SOLUTIONS%20LLC&query_place_id=ChIJU3d42lzl9T4RnRqHEITbBOI","Manufacturer"
"Al Mubashir Mechanical Cont. L.L.C","5",,"Al Shamook Business Centre - Office # 802 - Ithad Road",,"ام القيوين","AE","http://almubashir.net/","+971 55 282 4555","Construction company","Air conditioning system supplier","Air duct cleaning service","Cleaning service","Electrical repair shop","Kitchen remodeler","Tile cleaning service",,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Mubashir%20Mechanical%20Cont.%20L.L.C&query_place_id=ChIJ0wlWYxf59T4RYQmfYFNqcuw","Construction company"
"UTS Carrier","3.8",,"QWMQ+88P",,"Ras Al Khaimah","AE","https://www.carrier.com/commercial/en/ae/","+971 7 233 3824","Air conditioning system supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=UTS%20Carrier&query_place_id=ChIJe9QiM6p29j4RXS-FMWnnGOE","Air conditioning system supplier"
"VERDANT INDUSTRIES FZC","4.5",,"Free Trade Zone - Warehouse No.44 Block A",,"Emirate of Umm Al Quwain","AE","https://verdantuae.com/","+971 50 744 0057","HVAC contractor","Air conditioning system supplier","Building materials supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VERDANT%20INDUSTRIES%20FZC&query_place_id=ChIJLVQ7Krrl9T4RnTVenHxcg4Y","HVAC contractor"
"AIRPRO INDUSTRIES LLC","4.5",,,,"Emirate of Umm Al Quwain","AE","https://airprome.com/","+971 6 526 6800","Air conditioning system supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AIRPRO%20INDUSTRIES%20LLC&query_place_id=ChIJn7Jxg0zj9T4ReegU-J78q4g","Air conditioning system supplier"
"Airwellcare HVAC Systems LLC","3.8",,"GMRV+2GM",,"Emirate of Umm Al Quwain","AE","http://www.airwellcare.com/","+971 50 634 5506","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Airwellcare%20HVAC%20Systems%20LLC&query_place_id=ChIJPT1_bDzl9T4R8QFIBHRW6ts","Manufacturer"
"Al Haboob Repairs. Umm Al Quwain","4.1","21","Al ithad road",,"Emirate of Umm Al Quwain","AE",,"+971 55 877 5030","Air conditioning repair service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Haboob%20Repairs.%20Umm%20Al%20Quwain&query_place_id=ChIJHRnjsmL59T4R-wyQyYoUePk","Air conditioning repair service"
"Al Bader A/C System Cont L.L.C","5","5",,,"Ajman","AE","https://albaderacsystem.com/","+971 50 318 6228","Air conditioning store","Air conditioning contractor","Air conditioning system supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Bader%20A%2FC%20System%20Cont%20L.L.C&query_place_id=ChIJA6wmE7lXXz4Rep8OTLgzVVI","Air conditioning store"
"خدمات آسطا | Osta Services – AC Repair & Maintenance","5","147","Paradise Lake Tower B9",,"Ajman","AE","https://www.ostaservices.com/ac-services-ajman","+971 56 867 6036","Property maintenance","Air conditioning contractor","Air conditioning repair service","Air conditioning store","Air conditioning system supplier",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%20%D8%A2%D8%B3%D8%B7%D8%A7%20%7C%20Osta%20Services%20%E2%80%93%20AC%20Repair%20%26%20Maintenance&query_place_id=ChIJezA0kjb39T4R9imKlu9stG8","Property maintenance"
"Tartibat Maintenance And Decor","5","23","Shop #7, Ajman, AlJurf3",,"Ajman","AE","https://tartibatme.com/","+971 52 741 0649","Interior Decorator","Carpenter","Construction company","Countertop contractor","Electrical installation service","Flooring contractor","Handyman/Handywoman/Handyperson","Interior designer","Interior fitting contractor","Property maintenance",,"https://www.google.com/maps/search/?api=1&query=Tartibat%20Maintenance%20And%20Decor&query_place_id=ChIJ8VIL85r39T4RpBiYwQaAZEo","Interior Decorator"
"Fahad Technical AC Repair Services فهد للخدمات الفنية و صيانة و إصلاح المكيفات","4.5","108","Emad building - shop # 102",,"Ajman","AE","https://fahadtechnicalservices.godaddysites.com/","+971 58 945 8667","Air conditioning repair service","Air conditioning contractor","Air duct cleaning service","HVAC contractor",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fahad%20Technical%20AC%20Repair%20Services%20%D9%81%D9%87%D8%AF%20%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%20%D8%A7%D9%84%D9%81%D9%86%D9%8A%D8%A9%20%D9%88%20%D8%B5%D9%8A%D8%A7%D9%86%D8%A9%20%D9%88%20%D8%A5%D8%B5%D9%84%D8%A7%D8%AD%20%D8%A7%D9%84%D9%85%D9%83%D9%8A%D9%81%D8%A7%D8%AA&query_place_id=ChIJdU-cKeFZXz4RdFQBA3qUGIY","Air conditioning repair service"
"Washing machine Gas stove Air conditioning service Ajman // Al Barouda AC and Refrigerator Repairing","4.8","547",,,"Ajman","AE","https://albarouda.ae/","+971 58 293 5151","Appliance repair service","Air conditioning repair service","Air duct cleaning service","Refrigerator repair service","Washer & dryer repair service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Washing%20machine%20Gas%20stove%20Air%20conditioning%20service%20Ajman%20%2F%2F%20Al%20Barouda%20AC%20and%20Refrigerator%20Repairing&query_place_id=ChIJyas0VAJZXz4RoxjrXJ2twTw","Appliance repair service"
"Mabrook AC Repairing","4.8","940","Lucky round about - near oscar oil",,"Ajman","AE","http://www.mabrookacmaintenance.com/","+971 50 863 2685","Appliance repair service","Air duct cleaning service","Appliances customer service","Dryer vent cleaning service","Repair service","Small appliance repair service",,,,,,"https://www.google.com/maps/search/?api=1&query=Mabrook%20AC%20Repairing&query_place_id=ChIJ_____45YXz4RR-HiX2OmE_o","Appliance repair service"
"Atai FZC","4.7",,"Shed 3, Technology Park",,"Ras Al Khaimah","AE","http://ataifzc.com/","+971 7 244 5977","Corporate office",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Atai%20FZC&query_place_id=ChIJRfYSQooK9j4RnG22jC6pMpQ","Corporate office"
"POWER WAY ELECTROMECHANICAL CONTRACTING","4.6",,"SHEIKH FAIZAL BUILDING, M01",,"Ras Al Khaimah","AE","http://www.powerway.ae/","+971 56 838 9996","HVAC contractor","Air compressor supplier","Air conditioning contractor","Air conditioning system supplier","Electrical substation","Electrical installation service","Mechanical contractor","Mechanical engineer","Pipe supplier","Plumber",,"https://www.google.com/maps/search/?api=1&query=POWER%20WAY%20ELECTROMECHANICAL%20CONTRACTING&query_place_id=ChIJFxLunCtx9j4ROhpAGKTpC74","HVAC contractor"
"Electron Group of Companies","4.1",,"Unnamed Road",,"Ras Al Khaimah","AE","http://www.electronrak.com/","+971 50 377 6644","General contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Electron%20Group%20of%20Companies&query_place_id=ChIJJe6SaQJ09j4RaRiOQTI1tmU","General contractor"
"Al Falak Building Contracting LLC","5",,"#003, Al Fajr Building",,"Ras Al Khaimah","AE",,"+971 7 226 7550","Construction company",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Falak%20Building%20Contracting%20LLC&query_place_id=ChIJf7SEMC1x9j4RRkDXO1dPVl8","Construction company"
"Al Waleed Refrigerant Gas Industry L.L.C","5",,"Al Jurf",,"Ajman","AE","https://alwaleedrefrigerant.com/","+971 56 546 3744","Industrial gas supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Waleed%20Refrigerant%20Gas%20Industry%20L.L.C&query_place_id=ChIJtftIiUT39T4RWBHkN9vPYlU","Industrial gas supplier"
"GreenTech FZC",,,"Hamriyah Freezone Phase 1 Lobby 24, Office No. 6 - next to UAE Exchange",,"Sharjah","AE","https://www.greentechfz.com/","+971 6 526 2362","Air conditioning system supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GreenTech%20FZC&query_place_id=ChIJNSr6ETi-6QYRC9kPHeRFYUA","Air conditioning system supplier"
"Unicorn Electromechanical (UAQ) Office","5",,,,"Emirate of Umm Al Quwain","AE","http://www.unicornme.ae/","+971 55 985 6488","Contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Unicorn%20Electromechanical%20(UAQ)%20Office&query_place_id=ChIJjcZDQ-H-9T4RLbLriKZTCiA","Contractor"
"KHABIR ELECTROMECHANICAL CONSULTANCY L.L.C خبير للاستشارات الكهروميكانيكية ذ.م.م","4.8",,"Office # 408 - Al Muntasir Rd - beside Lulu Hypermarket, Al Jaber Building",,"Ras Al Khaimah","AE","https://in.linkedin.com/company/khabir-electromechanical-consultancy-l-l-c","+971 52 589 2287","Corporate office",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KHABIR%20ELECTROMECHANICAL%20CONSULTANCY%20L.L.C%20%D8%AE%D8%A8%D9%8A%D8%B1%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%83%D9%87%D8%B1%D9%88%D9%85%D9%8A%D9%83%D8%A7%D9%86%D9%8A%D9%83%D9%8A%D8%A9%20%D8%B0.%D9%85.%D9%85&query_place_id=ChIJ0SRAIoBx9j4RHE82rMknudU","Corporate office"
"Yas Airconditioning Supplies Industry L.L.C","5",,"HM3M+FMQ - Unnamed Road",,"Emirate of Umm Al Quwain","AE","https://yasac.ae/","+971 50 160 0632","Air conditioning system supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yas%20Airconditioning%20Supplies%20Industry%20L.L.C&query_place_id=ChIJBzFjXafk9T4Rfk2wChmaRFw","Air conditioning system supplier"
"Focus Industries LLC","5",,,,"Emirate of Umm Al Quwain","AE","https://primefocusglobal.com/","+971 55 959 0505","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Focus%20Industries%20LLC&query_place_id=ChIJN_aqUbrl9T4RRgz6B9fvI3E","Manufacturer"
"National Electrical System Industries FZE - NESCO","4.2",,,,"Sharjah","AE","https://www.nescouae.com/","+971 6 526 0052","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=National%20Electrical%20System%20Industries%20FZE%20-%20NESCO&query_place_id=ChIJH-OSF9ZXXz4R2yd-dfcdtTw","Manufacturer"
"Technomak Energy International FZC","4",,"Phase 1",,"Sharjah","AE","http://www.technomak.com/","+971 6 526 1518","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Technomak%20Energy%20International%20FZC&query_place_id=ChIJDeoH-GD49T4RiUGZQdgyEhs","Manufacturer"
"Air Control Industries LLC","5",,"Factory 6, New industrial area",,"Emirate of Umm Al Quwain","AE","http://www.aircontrol.ae/","+971 55 176 5322","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Control%20Industries%20LLC&query_place_id=ChIJ--nemKTl9T4RIxnlmcN60Zw","Manufacturer"
"Harry International Heat Transfer Industry LLC (Sole Proprietorship)","2.6",,"Jiddah St",,"Ajman","AE","http://www.harryinternational.com/","+971 6 743 1504","Manufacturer","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Harry%20International%20Heat%20Transfer%20Industry%20LLC%20(Sole%20Proprietorship)&query_place_id=ChIJy5BpwYBYXz4RtPLt9_5jozE","Manufacturer"
"AHLAN AC REPAIRING","4.1",,"Al Ghail",,"Ras Al Khaimah","AE","https://www.youtube.com/@ameerparappurath1001","+971 50 888 5650","Air conditioning repair service","Water cooler supplier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AHLAN%20AC%20REPAIRING&query_place_id=ChIJYWObevHH9T4ReXlyQ5gXj7g","Air conditioning repair service"
"AL FAKHER ELECTROMECHANICAL CONTG LLC","3.6",,"RX36+RR4",,"Ras Al Khaimah","AE",,"+971 7 227 6562","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AL%20FAKHER%20ELECTROMECHANICAL%20CONTG%20LLC&query_place_id=ChIJIZuR3jlx9j4RxoOYeLHXEIA","HVAC contractor"
"Mekar Air Handling Units LLC","4.3",,,,"Ajman","AE","http://www.mekar.ae/","+971 6 740 9802","Manufacturer","Electronics store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mekar%20Air%20Handling%20Units%20LLC&query_place_id=ChIJH56kJyP49T4RdBx3Fyd958U","Manufacturer"
"Xpert Auto Service and Repair","4.9","90","Jurf Industrial 1",,"Ajman","AE",,"+971 56 714 7144","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Xpert%20Auto%20Service%20and%20Repair&query_place_id=ChIJvQWz98L59T4RyP2YbkEyyWE","Auto repair shop"
"Al Baz Cooling System Maintenance","4.9","67","9FGW+QFJ",,"Ajman","AE","https://www.homeappliancesrepairinajman.com/","+971 50 136 3868","Air conditioning repair service","Appliance repair service","Painting",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Baz%20Cooling%20System%20Maintenance&query_place_id=ChIJP-90crP39T4R8h4G1OeR9S4","Air conditioning repair service"
"Generaltec Ajman - جنرال تيك عجمان","4.8","3024","AL JURF - 2 street",,"Ajman","AE","https://generaltec.com/","+971 6 881 2883","Electronics store",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Generaltec%20Ajman%20-%20%D8%AC%D9%86%D8%B1%D8%A7%D9%84%20%D8%AA%D9%8A%D9%83%20%D8%B9%D8%AC%D9%85%D8%A7%D9%86&query_place_id=ChIJs6nk8wz59T4RpWZQ2vLUfSQ","Electronics store"
"ورشة الحارث لتصليح المكيفات المركزية والثلاجات","4.9","9","J264+Q4C",,"Fujairah","AE",,"+971 50 808 8361","Air conditioning repair service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D9%88%D8%B1%D8%B4%D8%A9%20%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D8%AB%20%D9%84%D8%AA%D8%B5%D9%84%D9%8A%D8%AD%20%D8%A7%D9%84%D9%85%D9%83%D9%8A%D9%81%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9%20%D9%88%D8%A7%D9%84%D8%AB%D9%84%D8%A7%D8%AC%D8%A7%D8%AA&query_place_id=ChIJHYjYFtrb9T4RLBylfGLvUqY","Air conditioning repair service"
"Radiant Filters Trading Co LLC (Ras Al Khaima Branch)","5",,"QX99+5HC - Shop G05 - Sheikh Saqr Bin Muhammad Al Qasimi street",,"Ras Al Khaimah","AE","https://www.radiantfiltersuae.com/","+971 50 840 8958","Air filter supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Radiant%20Filters%20Trading%20Co%20LLC%20(Ras%20Al%20Khaima%20Branch)&query_place_id=ChIJ24FqVfl39j4RfTnMkIACBr0","Air filter supplier"
"Al Qamar Swimming Trading & Pool Maintenance","4.6",,"QXRJ+R58",,"Ras Al Khaimah","AE","https://alqamargroup.com/","+971 50 421 7075","Swimming pool repair service","Repair service","Swimming lake","Swimming pool","Swimming pool contractor","Swimming pool supply store",,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Qamar%20Swimming%20Trading%20%26%20Pool%20Maintenance&query_place_id=ChIJSdix9rd39j4RhwWCgzE6csk","Swimming pool repair service"
"TMC General Contracting and Electromechanic LLC","4.1",,"TMC Building",,"Emirate of Umm Al Quwain","AE","http://www.tmcuaq.com/","+971 6 766 6277","General contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TMC%20General%20Contracting%20and%20Electromechanic%20LLC&query_place_id=ChIJ99BfikD59T4Rtt4VK1NvgDk","General contractor"
"Fabair Electromechanical Services LLC","4",,"Jurf Industrial 1",,"Ajman","AE","http://www.fabair.ae/","+971 55 231 8540","Air conditioning contractor","Air conditioning system supplier","Industrial equipment supplier","Industrial technical engineers association","Interior Decorator",,,,,,,"https://www.google.com/maps/search/?api=1&query=Fabair%20Electromechanical%20Services%20LLC&query_place_id=ChIJmdboWfr59T4R9VzjaWri3E0","Air conditioning contractor"
"AMMRA Group of Companies","5",,"Shed No. 06, Warehouse No. 09, Al Hamra Freezone",,"Ras Al Khaimah","AE","http://www.ammra.co/","+971 4 388 9006","HVAC contractor","Air conditioning contractor","Refrigerator store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AMMRA%20Group%20of%20Companies&query_place_id=ChIJSYDnzh5cXz4RmH0_oHX8-QQ","HVAC contractor"
"CAMEO TECHNICAL SERVICES LLC","4.7",,"WH 7 - opp. Ajman Police Vehicle Impound Yard",,"Ajman","AE","http://www.cameoeme.com/","+971 6 556 5761","HVAC contractor","Fire protection service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CAMEO%20TECHNICAL%20SERVICES%20LLC&query_place_id=ChIJFQry5MT59T4RNa3xJAutypQ","HVAC contractor"
"Luxsmart Automation","5",,,,,,"https://www.luxsmart.ae/","+971 55 651 0494","Home automation company","Audio visual consultant","Service establishment","Home cinema installation","Security system installation service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Luxsmart%20Automation&query_place_id=ChIJ_c2-IdRUzysRjzh0F0-WMiQ","Home automation company"
"Al Masaa Building Maintenance","5",,"Rotana Business Center Branch 1",,"Ras Al Khaimah","AE",,"+971 50 770 1751","Electrical installation service","HVAC contractor","Interior construction contractor","Interior Decorator","Property maintenance",,,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Masaa%20Building%20Maintenance&query_place_id=ChIJGQZ1l5jMyKwR1Sav6Knlnls","Electrical installation service"
"Envotec FZ-LLC","5",,"Plot 165, Block No. I, Al Ghail Free Zone",,"Ras Al Khaimah","AE","http://www.envotec.global/","+971 7 226 3515","Manufacturer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Envotec%20FZ-LLC&query_place_id=ChIJpamhMAbH9T4Ra0M4B-L_EpU","Manufacturer"
"AL ATAA ELECTROMECH","5",,"OfficeNr-1, Al MAemura Street, Julphar",,"Ras Al Khaimah","AE","http://www.alataa.com/","+971 56 499 0669","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AL%20ATAA%20ELECTROMECH&query_place_id=ChIJIx_TaFhx9j4RbFhDxjK-Nnw","HVAC contractor"
"Avance Globe Contracting LLC","4.2",,"jurf 1 - Shed No 14 Near Last Chance supermarket Al Jurf",,"Ajman","AE","http://www.avanceglobe.com/","+971 55 433 5005","Interior architect office",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Avance%20Globe%20Contracting%20LLC&query_place_id=ChIJge13ckX39T4RflQAiGjPk6Q","Interior architect office"
"BOFFIN CONTROL MIDDLE EAST L.L.C","3.1",,"CF2X+JJQ",,"Ajman","AE","http://www.boffincontrol.com/","+971 6 748 9764","Automation company",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BOFFIN%20CONTROL%20MIDDLE%20EAST%20L.L.C&query_place_id=ChIJAQAAAAlYXz4RVXdS5GMEVOg","Automation company"
"AL EKHWA ELECTROMECHANICAL WORKS","5",,,,"Ras Al Khaimah","AE","https://alekhwaelectromechanicalworks.com/","+971 55 542 6200","HVAC contractor","Air conditioning contractor","Electronics company",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AL%20EKHWA%20ELECTROMECHANICAL%20WORKS&query_place_id=ChIJO7RImV539j4RorXwj5_1DuU","HVAC contractor"
"AL MAAREFA AC Technical Services LLC., Ajman","4.9","52","Liwara1",,"Ajman","AE","https://almaarefaacservices.com/","+971 56 163 7242","Air conditioning contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AL%20MAAREFA%20AC%20Technical%20Services%20LLC.%2C%20Ajman&query_place_id=ChIJexaOBcZXXz4RylDXc9C5k1I","Air conditioning contractor"
"OneTouch repairing | AC Repair Ajman | washing machine service Ajman","4.7","409","CC4X+V2H - 39 شارع بدر",,"Ajman","AE","https://onetouchrepairing.com/","+971 50 110 4281","Air conditioning repair service","Appliance repair service","Refrigerator repair service","Washer & dryer repair service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=OneTouch%20repairing%20%7C%20AC%20Repair%20Ajman%20%7C%20washing%20machine%20service%20Ajman&query_place_id=ChIJdQvtuQRXXz4RPr8P2j4mCbM","Air conditioning repair service"
"Rukn Al Fadal Electronics Trading. L.L.C. Ajman","5","32","BUILDING SHOP 4 - 5 Sheikh Rashid Bin Humeed St",,"Ajman","AE","https://devr.fadalelect.com/","+971 50 786 2811","Electronics company",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rukn%20Al%20Fadal%20Electronics%20Trading.%20L.L.C.%20Ajman&query_place_id=ChIJ_cPT3gBbXz4RdtchZozsq6U","Electronics company"
"Electra Electromechanical Cont.LLC","2.6","15","308 شارع الاتحاد",,"Ajman","AE","http://www.electrahvac.com/","+971 6 740 3590","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Electra%20Electromechanical%20Cont.LLC&query_place_id=ChIJSwsiRXlZXz4RMAIpl-kk85U","HVAC contractor"
"Ventura Air Products FZC","3.8","6",,,"Sharjah","AE","http://www.vapfzc.com/","+971 6 767 2753","Corporate office",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ventura%20Air%20Products%20FZC&query_place_id=ChIJS8gY3Pr59T4RXAOGjRTMOUU","Corporate office"
"الدره لمقاولات البناء","4.7",,"Al Muntasir Rd - above Dubai islamic Bank Building",,"Ras Al Khaimah","AE","http://www.aldorrauae.com/","+971 54 449 6168","Construction company",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%AF%D8%B1%D9%87%20%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%A1&query_place_id=ChIJH7Yxd_5x9j4Rbuf_mDw5r7A","Construction company"
